Species,Group
Bodotria pulchella ,2
Bodotria scorpioides ,1
Boeckosimus normani ,0
Bolinus brandaris ,0
Bolma rugosa ,1
Bolocera tuediae ,2
Boltenia echinata ,3
Boonea impressa ,1
Boonea seminuda ,1
Boonea sp. ,1
Bopyrus squillarum ,0
Boreocingula martyni ,0
Boreomysis arctica ,0
Boreonymphon robustum ,2
Boreotrophon truncatus ,1
Bornia geoffroyi ,0
Borniopsis tsurumaru ,2
Bostrycapulus aculeatus ,3
Bothrioneurum vejdovskyanum ,4
Botryllus schlosseri ,1
Botryllus sp. ,1
Bougainvillia muscus ,1
Bougainvillia ramosa ,1
Bowerbankia gracilis ,2
Bowerbankia imbricata ,2
Bowerbankia sp. ,2
Bowmaniella dissimilis ,2
Brachidontes exustus ,3
Brachidontes granulatus ,2
Brachycuma brevicornis ,0
Brachydiastylis resima ,2
Brachydiastylis sp. ,2
Brachynotus gemmellari ,2
Brachynotus sexdentatus ,2
Brachystomia carrozzai ,2
Brachystomia eulimoides ,2
Brachystomia scalaris ,2
Brachystomia sp. ,2
Brada granulosa ,1
Brada inhabilis ,1
Brada sachalina ,1
Brada sp. ,1
Brada villosa ,1
Branchioasychis americana ,1
Branchiocapitella abranchiata  ,5
Branchiomaldane sp. ,0
Branchiomaldane vincenti ,0
Branchiomma bairdi ,1
Branchiomma bombyx ,1
Branchiomma cingulata ,1
Branchiomma lucullanum ,1
Branchiomma nigromaculatum ,1
Branchiomma sp. ,1
Branchiomma vesiculosum ,1
Branchiostoma belcheri tsingtauense ,1
Branchiostoma californiense ,1
Branchiostoma caribaeum ,1
Branchiostoma floridae ,1
Branchiostoma lanceolatum ,1
Branchiosyllis diazi ,2
Branchiosyllis exilis ,2
Branchiosyllis oculata ,2
Branchiosyllis sp. ,2
Branchiura sowerbyi ,4
Branchiura sp. ,4
Brania arminii ,2
Brania clavata ,2
Brania limbata ,2
Brania oculata ,2
Brania pusilla ,2
Brania sp. ,2
Brania swedmarki ,2
Brania tenuicirrata ,2
Brania wellfleetensis ,2
Bratislavia sp. ,1
Brisaster fragilis ,3
Brisaster latifrons ,2
Brissopsis luzonica ,1
Brissopsis lyrifera ,1
Brissopsis sp. ,1
Brissus latecarinatus ,1
Brissus unicolor ,1
BRYOZOA ,2
Buccinum bezoar ,1
Buccinum elatior ,2
Buccinum fragile ,2
Buccinum glaciale ,2
Buccinum humphreysianum ,2
Buccinum hydrophanum ,2
Buccinum ovum ,2
Buccinum sp. ,2
Buccinum undatum ,2
Bugula flabellata ,0
Bugula sp. ,0
Bulbus smithii ,2
Bulla gouldiana ,1
Bulla sp. ,2
Bulla striata ,2
Bullacta exarata ,1
Bullomorpha sp. ,1
Bushia rushii ,1
Bushiella quadrangularis ,1
Byblis gaimardii ,1
Byblis guernei ,1
Byblis huanghaiensis ,1
Byblis japonicus ,1
Byblis millsi ,2
Byblis sp. ,1
Byblis veleronis ,2
Bylgides elegans ,1
Bylgides macrolepidus ,2
Bylgides sarsi ,1
Bylgides sp. ,1
Cabira incerta ,3
Cabira pilargiformis ,3
Cabira sp. ,3
Cadulus aberrans ,2
Cadulus jeffreysi ,2
Cadulus sp. ,2
Cadulus teliger ,2
Caecognathia crenulatifrons ,2
Caecognathia elongata ,1
Caeconyx caeculus ,2
Caecum californicum ,2
Caecum chilense ,2
Caecum cooperi ,1
Caecum crebricinctum ,2
Caecum floridanum ,1
Caecum glabrum ,1
Caecum imbricatum ,1
Caecum imperforatum ,1
Caecum johnsoni ,1
Caecum nitidum ,1
Caecum occidentale ,2
Caecum pulchellum ,1
Caecum regulare ,1
Caecum subaustrale ,2
Caecum trachea ,1
Caenis sp. ,3
Calappa sp. ,0
Calathura brachiata ,2
Calathura norvegica ,1
Calathura sp. ,2
Calcinus tubularis ,0
Califia calida ,0
Calliactis parasitica ,0
Callianassa harmandi ,3
Callianassa japonica ,3
Callianassa marginata ,3
Callianassa sp. ,3
Callianassa subterranea ,3
Callianassa truncata ,3
Callianassa tyrrhena ,3
Callinectes sapidus ,1
Callinectes similis ,1
Callinectes sp. ,1
Calliopius laeviusculus ,0
Calliopius sp. ,0
Calliostoma consimilis ,1
Calliostoma granulatum ,1
Calliostoma laugieri ,1
Calliostoma papillosa ,1
Calliostoma sp. ,1
Calliostoma virescens ,1
Calliostoma zizyphinum ,1
Callipallene brevirostris ,1
Callipallene emaciata ,1
Callipallene emacinata ,1
Callipallene sp. ,1
CALLIPALLENIDAE ,1
Callista chione ,1
Callista impar ,1
Callochiton puniceus ,2
Callochiton septemvalvis ,1
Callopora craticula ,2
Calocarides coronatus ,2
Calocarides sp. ,2
Calocarides spinulicauda ,2
Calocaris macandreae ,2
Calocaris sp. ,2
Calycella gracilis ,1
Calycella syringa ,1
Calyptraea chinensis ,1
Calyptraea fastigiata ,2
Calyptraea sinensis ,1
CALYPTRAEIDAE ,1
Campanularia groenlandica ,2
Campanularia hincksii ,2
Campanularia volubilis ,2
Campanulina panicula ,1
Campanulina pumila ,2
Campanulina sp. ,2
Campylaspis biplicata ,1
Campylaspis canaliculata ,1
Campylaspis costata ,2
Campylaspis fusiformis ,2
Campylaspis glabra ,2
Campylaspis horrida ,2
Campylaspis legendrei ,2
Campylaspis macrophthalma ,2
Campylaspis rubicunda ,2
Campylaspis rubromaculata ,1
Campylaspis sp. ,2
Campylaspis umbensis ,2
Campylaspis undata ,2
Campylaspis verrucosa ,2
Cancellaria scaliriformis ,1
Cancellaria sp. ,1
Cancellaria viridula ,1
Cancer antennarium ,2
Cancer anthonyi ,2
Cancer edwardsii ,2
Cancer gracilis ,2
Cancer jordani ,2
Cancer magister ,2
Cancer pagurus ,3
Cancer sp. ,0
Cancilla salisburyi ,1
Cantharus sp. ,1
Capitella capitata ,5
Capitella giardi ,5
Capitella jonesi ,5
Capitella minima ,5
Capitella perarmata ,5
Capitella sp. ,5
CAPITELLIDAE ,5
Capitellides giardi ,5
Capitellides jonesi ,5
Capitellides sp. ,5
Capitomastus minimus ,5
Capitomastus sp. ,5
Caprella acanthifera ,2
Caprella acutifrons ,2
Caprella californica ,2
Caprella drepanochir ,2
Caprella equilibra ,2
Caprella fretensis ,2
Caprella gracilior ,2
Caprella grandimana ,2
Caprella laeviuscula ,2
Caprella linearis ,2
Caprella liparotensis ,2
Caprella mendax ,2
Caprella monai ,2
Caprella natalensis ,2
Caprella penantis ,2
Caprella sabulensis ,2
Caprella santosrosai ,2
Caprella scaura ,2
Caprella septentrionalis ,2
Caprella sp. ,2
Caprella tuberculata ,2
CAPRELLIDAE ,2
Capulus intortus ,1
Capulus ungaricus ,1
Carangoliopsis spinulosa ,0
Carazziella hobsonae ,1
Carazziella sp. ,3
Carcinoplax vestita ,0
Carcinus aestuarii ,3
Carcinus maenas ,3
Carcinus sp. ,3
CARDIIDAE ,3
Cardiomya aldroydi ,1
Cardiomya costellata ,1
Cardiomya gemma ,1
Cardiomya oldroydi ,2
Cardiomya pectinata ,2
Cardita aculeata ,1
Cardita calyculata ,1
Cardita sp. ,1
Carditella naviformis ,1
Carditella pallida ,1
Carditella sp. ,1
Carditella tegulata ,1
Cardites floridanus ,1
Carditopsis flabellum ,1
Cardium aculeata ,1
Cardium echinatum ,1
Cardium exiguum ,1
Cardium ovale ,1
Cardium papillosum ,1
Cardium sp. ,3
Caridion gordoni ,0
Carinoma armandi ,3
Carinoma mutabilis ,2
Carinoma tremaphoros ,3
Carinomella lactea ,1
Carpias minutus ,0
Caryocorbula caribaea ,4
Caryophyllia inornata ,1
Caryophyllia smithii ,1
Cassidinidea ovalis ,2
Cassidinidea sp. ,2
Cataleptodius floridanus ,0
Caudina arenicola ,1
Caulleriella alata ,4
Caulleriella apicula ,2
Caulleriella bioculata ,4
Caulleriella bremecae ,3
Caulleriella caputesocis ,4
Caulleriella cristata ,4
Caulleriella galeanoi ,3
Caulleriella killariensis ,4
Caulleriella pacifica ,2
Caulleriella serrata ,3
Caulleriella venefica ,3
Caulleriella viridis ,4
Caulleriella zetlandica ,4
Cavernularia pusilla ,1
Cavernularia sp. ,1
Caviphaxus jiaozhouwanensis ,2
Caviphaxus longiflagellatus ,2
Cavolinia inflexa ,0
Cellaria salicornioides ,0
Cellepora pumicosa ,1
Celleporella hyalina ,2
Cenogenus brevipes ,0
Centromedon pumilus ,0
Cephalothrix linearis ,3
Cephalothrix sp. ,3
Ceradocus semiserratus ,1
Ceradocus sp. ,1
Ceradocus spinicauda ,1
Ceramaster granularis ,2
Cerapus benthophilus ,1
Cerapus sp. ,1
Cerapus tubularis ,1
Cerastobyssum hauniense ,1
Cerastoderma edule ,3
Cerastoderma glaucum ,3
Cerastoderma lamarcki ,3
Cerastoderma ovale ,1
Cerastoderma sp. ,3
Ceratia proxima ,1
Ceratia sp. ,1
Ceratocephale fauveli ,2
Ceratocephale loveni ,2
Ceratocephale oculata ,2
Ceratocephale sp. ,2
Ceratonereis costae ,2
Ceratonereis erythraeensis  ,2
Ceratonereis falsa ,3
Ceratonereis hircinicola ,2
Ceratonereis irritabilis ,2
Ceratonereis longicirrata ,3
Ceratonereis mirabilis ,2
Ceratonereis singularis ,2
Ceratonereis sp. ,2
Ceratonereis versipedata ,2
Ceratonereis vittata ,2
Ceratostoma erinaceum ,2
Cerberilla sp. ,1
Cerebratulus fuscus ,3
Cerebratulus lacteus ,2
Cerebratulus marginatus ,3
Cerebratulus montgomeryi ,2
Cerebratulus sp. ,3
Cereus pedunculatus ,1
Cerianthus filiformis ,1
Cerianthus lloydi ,1
Cerianthus lloydii ,1
Cerianthus membranaceus ,1
Cerianthus sp. ,1
Cerithidea californica ,2
Cerithidea cingulata  ,1
Cerithidea costata ,2
Cerithidea djadjariensis ,1
Cerithiella metula ,1
Cerithiopsis minima ,1
Cerithiopsis tubercularis ,1
Cerithium atratum ,2
Cerithium eburneum ,2
Cerithium litteratum ,2
Cerithium muscarum ,2
Cerithium rupestre ,2
Cerithium scabridum ,2
Cerithium sp. ,2
Cerithium vulgatum ,2
Cestopagurus sp. ,1
Cestopagurus timidus ,1
Chaetoderma elegans ,2
Chaetoderma marinae ,2
Chaetoderma nanulum ,2
Chaetoderma nitidulum ,2
Chaetoderma sp. ,2
Chaetoderma tetradens ,2
Chaetogammarus marinus ,1
Chaetogammarus stoerensis ,3
Chaetogaster sp. ,2
Chaetoparia nilssoni ,2
Chaetopleura benaventei ,2
Chaetopleura peruviana ,2
Chaetopterus norvegicus ,1
Chaetopterus sp. ,1
Chaetopterus variopedatus ,1
Chaetozone acuta ,2
Chaetozone bansei ,2
Chaetozone caputesocis ,4
Chaetozone carpenteri ,4
Chaetozone christiei ,4
Chaetozone columbiana ,3
Chaetozone corona ,3
Chaetozone gibber ,4
Chaetozone jubata ,4
Chaetozone lunula ,2
Chaetozone senticosa ,0
Chaetozone setosa ,4
Chaetozone sp. ,4
Chaetozone tentaculata ,4
Chaetozone vivipara ,4
Chaetozone zetlandica ,4
Chamelea gallina ,1
Chamelea gallina striatula ,1
Chamelea sp. ,1
Chamelea striatula ,1
Chaoborus albatus ,4
Chaoborus punctipennis ,4
Chaoborus sp. ,4
Chartella papyracea ,2
Charybdis japonica ,2
Charybdis riversandersoni ,2
Chauliopleona dentata ,2
Chaunorhynchus sp. ,2
Chauvetia brunnea ,1
Chauvetia sp. ,1
Cheilopora sincera ,2
Cheirimedeia zotea ,1
Cheirocratus assimilis ,1
Cheirocratus intermedius ,1
Cheirocratus robustus ,1
Cheirocratus sp. ,1
Cheirocratus sundevalli ,1
Chelicorophium curvispinum ,3
Cheriaster reunionensis ,1
Chione californiensis ,2
Chione cancellata ,2
Chione latilirata ,2
Chione ovata ,1
Chione sp. ,2
Chione undatella ,2
Chionoecetes opilio ,1
Chiridotea almyra ,2
Chiridotea caeca ,2
Chiridotea coeca ,2
Chiridotea tuftsii ,2
Chirimia biceps ,2
Chirimia gotoi ,2
Chirimia similis ,2
Chirimia sp. ,2
CHIRONOMIDAE ,3
Chironomus albidus ,3
Chironomus anthracinus ,3
Chironomus aprilinus ,3
Chironomus crassicaudatus ,3
Chironomus halophilus ,3
Chironomus plumosus ,3
Chironomus salinarius ,4
Chironomus sp. ,3
Chironomus tentans ,3
Chironomus viridulus ,3
Chiton cumingsii ,2
Chiton granosus ,2
Chiton sp. ,2
Chiton striatus ,2
Chiton subfuscus ,2
Chlamys glabra ,1
Chlamys islandica ,1
Chlamys lishkei ,1
Chlamys opercularis ,1
Chlamys patagonicus ,1
Chlamys proteus ,1
Chlamys septemradiatus ,2
Chlamys sp. ,1
Chlamys varia ,1
Chlamys vitrea ,3
Chloeia fusca ,4
Chloeia parva ,2
Chloeia pinnata ,2
Chloeia rosea ,4
Chloeia venusta ,4
Chloeia violacea ,2
Chloeia viridis ,4
Chloenopsis atlantica ,0
Chlorotocus crassicornis ,0
Chone acustica ,2
Chone albocincta ,2
Chone americana ,2
Chone arenicola ,2
Chone collaris ,2
Chone duneri ,2
Chone ecaudata ,2
Chone elevata ,3
Chone fauveli ,2
Chone filicaudata ,2
Chone infundibuliformis ,2
Chone longiseta ,2
Chone longocirrata ,2
Chone magna ,2
Chone minuta ,2
Chone mollis ,2
Chone murmanica ,2
Chone sp. ,2
Chone striata ,2
Chone uebelackerae ,2
Chone veleronis ,2
Chorizopora brongniartii ,0
Choromytilus chorus ,3
Christerius litoralis ,5
Chrysallida decussata ,2
Chrysallida doliolum ,2
Chrysallida excavata ,2
Chrysallida fenestrata ,2
Chrysallida indistincta ,2
Chrysallida interstincta ,2
Chrysallida monterosatii ,2
Chrysallida obtusa ,2
Chrysallida obtusa interstincta ,2
Chrysallida pellucida ,2
Chrysallida sp. ,2
Chrysallida spiralis ,2
Chrysallida suturalis ,2
Chrysallida terebellum ,2
Chrysopetalum caecum ,1
Chrysopetalum debile ,1
Chrysopetalum hernancortezae ,1
Chrysopetalum sp. ,1
Chthamalus montagui ,1
Chthamalus stellatus ,1
Cibrilina radiata ,2
Ciliatocardium ciliatum ,1
Cingula cingillus ,1
Cingula proxima ,1
Cingula sp. ,1
Cingula trifasciata ,1
Cingulina cingulata ,1
Ciona intestinalis ,3
Ciona sp. ,3
Circe minima ,1
Circeis spirillum ,1
Circomphalus casina ,1
Circulus striatus ,1
Cirolana borealis ,2
Cirolana cranchi ,2
Cirolana harfordi ,2
Cirolana japonensis ,2
Cirolana japonica ,2
Cirolana sp. ,2
CIRRATULIDAE ,4
Cirratulus africanus ,4
Cirratulus caudatus ,4
Cirratulus chrysoderma ,4
Cirratulus cirratus ,4
Cirratulus filiformis ,3
Cirratulus grandis ,3
Cirratulus incertus ,4
Cirratulus sp. ,4
Cirratulus spectabilis ,4
Cirriformia capensis ,4
Cirriformia chrysoderma ,4
Cirriformia filigera ,4
Cirriformia grandis ,3
Cirriformia punctata ,0
Cirriformia sp. ,4
Cirriformia tentaculata ,4
Cirrolinia fluviatilis ,4
Cirrophorus americanus ,3
Cirrophorus armatus ,3
Cirrophorus branchiatus ,3
Cirrophorus eliasoni ,3
Cirrophorus forticirratus ,3
Cirrophorus furcatus ,2
Cirrophorus harpagoneus ,3
Cirrophorus lyra ,3
Cirrophorus lyriformis ,3
Cistenides ehlersi ,1
Cistenides granulata ,1
Cistenides hyperborea ,1
CLADOCERA ,3
Cladocoryne floccosa ,0
Cladopelma viridula ,0
Cladotanytarsus mancus ,4
Cladotanytarsus sp. ,4
Clausinella brongniarti ,1
Clausinella fasciata ,1
Clausinella sp. ,1
Clava multicornis ,1
Clavatula pseudopriciplis ,0
CLAVIDAE ,1
Cleantioides planicauda  ,0
Cleantis planicauda ,0
Cleantis prismatica ,2
Clelandella miliaris ,1
Clementia papyracea ,1
Clementia vatheliti ,1
Clibanarius antillensis ,2
Clibanarius sp. ,2
Clinocardium nuttallii ,1
Clinocardium sp. ,1
Clinotanypus pinguis ,4
Cliona celata ,3
Cliona sp. ,3
Clione limacina ,1
Clitellio arenarius ,5
Clitellio sp. ,5
Clymene affinis ,3
Clymene collaris ,1
Clymene gracilis ,3
Clymene lophoseta ,3
Clymene lumbricoides ,1
Clymene modesta ,1
Clymene oerstedii ,1
Clymene palermitana ,1
Clymene praetermissa ,3
Clymene robusta ,5
Clymene santandarensis ,1
Clymene sp. ,0
Clymenella cincta ,1
Clymenella mucosa ,1
Clymenella sp. ,1
Clymenella torquata ,1
Clymenella zonalis ,1
Clymenura borealis ,3
Clymenura clypeata ,3
Clymenura gracilis ,1
Clymenura polaris ,3
Clymenura sp. ,3
Clymenura tricirrata ,3
Clytia gracilis ,1
Clytia hemisphaerica ,1
Clytia linearis ,1
Clytia paulensis ,1
Clytia sp. ,1
Cnemidocarpa rhizopus ,3
Cnemidocarpa sp. ,0
CNIDARIA ,1
Cochliolepis sp. ,2
Cochlodesma praetenue ,0
Codakia decussata ,1
Codakia orbicularis ,1
Codakia orbiculata ,1
Codakia pectinella ,1
Coecella  sp. ,0
Coelostele scalaris ,1
Coelotanypus sp. ,4
Collisella kolarovai ,0
Collisella sp. ,0
Colomastix pusilla ,2
Columbella adansoni ,1
Columbella rustica ,1
Columbiaemysis ignota ,2
Colus altus ,1
Colus gracilis ,1
Colus islandicus ,1
Colus jeffreysianus ,1
Colus lachesis ,1
Colus sabini ,1
Colus sp. ,1
Colus turgidulus ,1
Comarmondia gracilis ,0
Commensodorum commensalis ,0
Compsomyax subdiaphana ,2
Conchoecia elegans ,3
Conilera cylindracea ,0
Conopeum reticulum ,2
Conopeum seurati ,2
Conus californicus ,1
Conus mediterraneus ,1
Conus sp. ,1
Conus ventricosus ,1
Cooperella subdiaphana ,2
Coracuta obliquata ,3
Coralliophila squamosa ,0
Corbicula fluminea ,3
Corbicula manilensis ,3
Corbicula sp. ,3
Corbula caribaea ,4
Corbula contracta ,4
Corbula gibba ,4
Corbula pallida ,4
Corbula persica ,4
Corbula porcella ,2
Corbula sp. ,4
Corbula swiftiana ,4
Cordylophora caspia ,1
Corella parallelogramma ,3
Corella sp. ,3
Corophium acherusicum ,3
Corophium aculeatum ,3
Corophium acutum ,3
Corophium affine ,3
Corophium alienense ,3
Corophium annulatum ,3
Corophium arenarium ,3
Corophium bonnellii ,3
Corophium crassicorne ,3
Corophium heteroceratum ,3
Corophium insidiosum ,3
Corophium lacustre ,3
Corophium lamellatum ,3
Corophium louisianum ,3
Corophium major ,3
Corophium minimum ,3
Corophium multisetosum ,3
Corophium oaklandense ,3
Corophium orientale ,3
Corophium rotundirostre ,3
Corophium runcicorne ,3
Corophium sextonae ,3
Corophium simile ,2
Corophium sinensis ,3
Corophium sp. ,3
Corophium spinicorne ,3
Corophium stimpsoni ,3
Corophium tuberculatum ,3
Corophium urdaibaiense ,3
Corophium volutator ,3
Corymorpha nana ,1
Corymorpha nutans ,1
Corynactis viridis ,1
Coryne pusilla ,1
Coryne sp. ,1
Coryphella browni ,2
Coryphella sp. ,2
Coryphella verrucosa ,2
Corystes cassivelaunus ,1
Cossura candida ,3
Cossura chilensis ,4
Cossura coasta ,4
Cossura consimilis ,1
Cossura delta ,4
Cossura longocirrata ,4
Cossura modica ,3
Cossura pygodactylata ,4
Cossura soyeri ,4
Cossura sp. ,4
Cossurella dimorpha ,4
Costoanachis avara ,1
Costoanachis sp. ,1
Costoanachis sparsa ,1
Crangon affinis ,1
Crangon alaskensis ,2
Crangon allmanni ,2
Crangon cassiope  ,2
Crangon crangon ,1
Crangon franciscorum ,2
Crangon nigricauda ,2
Crangon nigromaculata ,2
Crangon septemspinosa ,1
Crangon sp. ,1
CRANGONIDAE ,1
Craniella cranium ,1
Craniella polyura ,1
Crassicorophium bonellii ,3
Crassicorophium crassicorne ,3
Crassilabrum crassilabrum ,1
Crassinella lunulata ,1
Crassispira pseudoprinciplis ,1
Crassostrea angulata ,3
Crassostrea gigas ,3
Crassostrea virginica ,3
Crenella decussata ,1
Crenella sp. ,2
Crepidula aculeata ,3
Crepidula adunca ,2
Crepidula convexa ,2
Crepidula dilatata ,2
Crepidula fornicata ,3
Crepidula glottidiarum ,2
Crepidula maculosa ,3
Crepidula naticarum ,2
Crepidula norrisiarum ,2
Crepidula onyx ,3
Crepidula plana ,3
Crepidula unguiformis ,3
Crepipatella dilatata ,2
Crepipatella dorsata ,2
Cressa cristata ,0
Cressa dubia ,0
Cribrilina sp. ,0
Cribrinopsis crassa ,2
Crinophtheiros collinsi ,1
Crisia ramosa ,0
Crisia sp. ,0
Crisidia cornuta ,2
Crisilla semistriata ,1
Crossaster papposus ,0
Crucibulum spinosum ,2
Crucigera websteri ,0
Cryptocentrus sp. ,3
Cryptochironomus fulvus ,3
Cryptochironomus sp. ,3
Cryptomya californica ,2
Cryptonatica affinis ,2
Cryptosula pallasiana ,2
Ctena decussata ,1
Ctena pectinella ,1
Ctenodiscus crispatus ,1
Ctenodrilus serratus ,0
Cubanocuma gutzui ,2
Cucumaria elongata ,1
Cucumaria frondosa ,1
Cucumaria kirschbergii ,1
Cucumaria lactea ,1
Cucumaria sp. ,1
CUCUMARIIDAE ,1
CULTELLIDAE ,1
Cultellus adriaticus ,1
Cultellus attenuatus ,1
Cultellus pellucidus ,1
Cultellus sp. ,1
Cultrensis adriaticus ,1
CUMACEA ,1
Cumella arguta ,2
Cumella californica ,2
Cumella garrityi ,2
Cumella limicola ,2
Cumella pygmaea ,2
Cumella sp. ,2
Cumella vulgaris ,2
Cumingia californica ,2
Cumingia mutica ,2
Cumopsis fagei ,2
Cumopsis goodsir ,2
Cumopsis longipes ,2
Cumopsis sp. ,2
Curtitoma trevelliana ,1
Curveulima devians ,1
Curveulima macrophtalmica ,1
Cuspidaria abbreviata ,1
Cuspidaria arctica ,1
Cuspidaria costellata ,1
Cuspidaria cuspidata ,1
Cuspidaria jugosa ,1
Cuspidaria lamellosa ,1
Cuspidaria obesa ,1
Cuspidaria rostrata ,1
Cuspidaria sp. ,1
Cuthona sp. ,0
Cyamicardium denticulatum ,2
Cyanophthalma obscura ,3
Cyanophthalma sp. ,3
Cyathodonta pedroana ,2
Cyathura burbancki ,2
Cyathura carinata ,3
Cyathura munda ,3
Cyathura polita ,2
Cyathura sp. ,3
Cycladicama tsuchi ,3
Cyclaspis picta ,2
Cyclaspis platymerus ,2
Cyclaspis pustulata ,2
Cyclaspis sp. ,2
Cyclaspis varians ,2
Cyclina sinensis ,1
Cyclinella tenuis ,1
Cyclocardia compressa ,1
Cyclocardia thouarsii ,1
Cyclocardia velutina ,1
Cyclocardia ventricosa ,2
Cycloes cristata ,0
Cyclope neritea ,1
Cyclope pellucida ,1
Cyclostremella concordia ,2
Cylichna alba ,2
Cylichna attonsa ,2
Cylichna collyra ,2
Cylichna cylindracea ,2
Cylichna diegensis ,2
Cylichna graeca ,2
Cylichna occulta ,2
Cylichna propecylindracea ,2
Cylichna sp. ,2
Cylichnatys angusta ,1
Cylichnina sp. ,2
Cylichnina subcylindrica ,2
Cylichnina umbilicata ,2
Cylindrobulla beauii ,1
Cylindrobulla fragilis ,1
Cylindrobulla sp. ,1
Cylindroleberis mariae ,1
Cymadusa compta ,1
Cymadusa filosa ,1
Cymadusa sp. ,1
Cymodoce sp. ,1
Cymodoce spinosa ,1
Cymodoce truncata ,1
Cymodoce tuberculata ,1
Cypridina mediterrianea ,2
Cypridina megalops ,2
Cypridina norvegica ,2
Cypridina sp. ,2
Cypridinodes concentrica ,2
Cystisella saccata ,2
Cythara attenuata ,2
Cythara costata ,2
Cythara ginaria ,2
Cytharella smithi ,1
Dacrydium vitreum ,1
Dalhousiella ancuda ,2
Dalhousiella sp. ,2
Dardanus arrosor ,2
Dardanus calidus ,2
Dardanus tinctor ,2
Darina solenoides ,2
Dasybranchus caducus ,3
Dasybranchus gajolae ,3
Dasybranchus lumbricoides ,3
Dasybranchus lunulatus ,3
Dasybranchus platyceps ,4
Dasybranchus sp. ,3
Dasychone bombyx ,1
Dasychone lucullana ,1
Dayipsammolyce ctenidophora ,0
Decamastus gracilis ,2
Decamastus sp. ,3
Decipula tenella ,2
Decorifera matusimana ,2
Deflexilodes acutipes ,1
Deflexilodes gibbosus ,1
Deflexilodes griseus ,1
Deflexilodes norvegicus ,2
Deflexilodes subnudus ,1
Deflexilodes tenuirostratus ,1
Deflexilodes tesselatus ,1
Deflexilodes tuberculatus ,1
Delectopecten vitreus ,3
Deltamysis sp. ,2
Demonax branchyona ,1
Demonax cambrensis ,1
Demonax microphthalmus ,1
Demonax sp. ,1
Demonax tenuicollaris ,1
DEMOSPONGIAE ,1
Dendraster excentricus ,1
Dendraster sp. ,1
Dendrobeania decorata ,2
Dendrobeania fruticosa ,2
Dendrodoa grossularia ,1
Dendrodoa sp. ,1
Dendronereis pinnaticirris ,1
Dendronotus frondosus ,0
DENTALIIDAE ,1
Dentalium dentalis ,1
Dentalium entalis ,1
Dentalium inaequicostatum ,1
Dentalium novemcostatum ,1
Dentalium occidentale ,1
Dentalium octangulatum ,1
Dentalium panormum ,1
Dentalium pretiosum ,1
Dentalium rossati ,1
Dentalium rubescens ,1
Dentalium sp. ,1
Dentalium tetragonum ,1
Dentalium texasianum ,1
Dentalium vulgare ,1
Dentatisyllis carolinae ,3
Dentinephtys glabra ,2
Dero abranchiata ,2
Dero digitata ,2
Dero sp. ,2
Desdemona ornata ,2
Desdimelita desdichada ,2
Deshayesorchestia deshayesii ,3
Desmodora sp. ,3
Deutella californica ,3
Deutella incerta ,3
Devonia perrieri ,1
Dexamine sp. ,3
Dexamine spiniventris ,3
Dexamine spinosa ,3
Dexamine thea ,3
Dexiospira pagenstecheri ,2
Dexiospira spirillum ,1
Diacria trispinosa ,0
Diadumene leucolena ,2
Diadumene sp. ,2
Dialychone sp. ,0
Diaphana californica ,1
Diaphana minuta ,1
Diaphana sp. ,1
Diastoma varium ,0
Diastylis alaskensis ,2
Diastylis bidentata ,1
Diastylis bradyi ,2
Diastylis cornuta ,1
Diastylis crenellata ,2
Diastylis edwardsii ,2
Diastylis glabra ,2
Diastylis goodsiri ,2
Diastylis laevis ,2
Diastylis lepechini ,2
Diastylis lucifera ,3
Diastylis oxyrhyncha ,2
Diastylis paraspinulosa ,2
Diastylis pellucida ,2
Diastylis quadrispinosa ,2
Diastylis rathkei ,3
Diastylis richardi ,0
Diastylis rostrata ,3
Diastylis rugosa ,1
Diastylis santamariensis ,2
Diastylis scorpioides ,1
Diastylis sculpta ,2
Diastylis sentosa ,2
Diastylis sp. ,1
Diastylis spinulosa ,1
Diastylis sulcata ,1
Diastylis tricincta ,1
Diastylis tumida ,2
Diastyloides bacescoi ,1
Diastyloides biplicatus ,1
Diastyloides serrata ,1
Diastyloides serratus ,1
Diastylopsis dawsoni ,1
Diastylopsis tenuis ,1
Dichelopandalus bonnieri ,2
Dicrotendipes neomodestus ,4
Dicrotendipes sp. ,4
Didontoglossa koyasensis ,1
Digitaria digitaria ,1
Digitaria digitata ,1
Dikoleps cutleriana ,1
Diloma nigerrima ,2
Dimorphostylis asiatica ,1
Dinophilus sp. ,2
Diodora apertura ,1
Diodora aspera ,1
Diodora cayenensis ,1
Diodora graeca ,1
Diogenes avarus ,2
Diogenes edwardsii ,2
Diogenes pugilator ,2
Diogenes sp. ,2
Diopatra amboinensis ,2
Diopatra chilensis ,2
Diopatra cuprea ,1
Diopatra neapolitana ,1
Diopatra neotridens ,1
Diopatra ornata ,2
Diopatra papillata ,0
Diopatra rhizoicola ,2
Diopatra splendidissima ,2
Diopatra tridentata ,2
Dioplosyllis cirrosa ,0
Dioplosyllis sp. ,0
Diplocirrus capensis ,1
Diplocirrus glaucus ,1
Diplocirrus hirsutus ,1
Diplocirrus longisetosus ,1
Diplocirrus sp. ,1
Diplocirrus stopbowitzi ,1
Diplodon chilensis ,3
Diplodonta apicalis ,2
Diplodonta brocchii ,2
Diplodonta inconspicua ,2
Diplodonta orbella ,2
Diplodonta orbiculata ,2
