Species,Group
Amblyosyllis sp. ,2
Americamysis almyra ,2
Americamysis bahia ,2
Americamysis bigelowi ,2
Americamysis sp. ,2
Americhelidium americanum ,2
Americhelidium rectipalmum ,2
Americhelidium shoemakeri ,2
Americhelidium sp. ,2
Americonuphis magna ,0
Americorophium brevis ,2
Americorophium salmonis ,1
Americorophium sp. ,3
Americorophium spinicorne ,3
Americorophium stimpsoni ,1
Ameroculodes edwardsi ,1
Ameroculodes sp. ,1
Ammodytes tobianus ,0
Ammonicera rota ,2
Ammothea hilgendorfi ,2
Ammothella longipes ,1
Ammotrypane aulogaster ,3
Ammotrypane cylindricaudata ,1
Ampelisca abdita ,3
Ampelisca aequicornis ,1
Ampelisca agassizi ,1
Ampelisca amblyops ,1
Ampelisca anomala ,1
Ampelisca araucana ,2
Ampelisca armoricana ,1
Ampelisca bocki ,1
Ampelisca brachycladus ,2
Ampelisca brevicornis ,1
Ampelisca brevisimulata ,2
Ampelisca careyi ,2
Ampelisca cavicoxa ,1
Ampelisca coa ,1
Ampelisca cristata ,2
Ampelisca cyclops ,1
Ampelisca dalmatina ,1
Ampelisca diadema ,2
Ampelisca eschrichtii ,1
Ampelisca gibba ,1
Ampelisca hancocki ,1
Ampelisca heterodactyla ,1
Ampelisca holmesi ,1
Ampelisca ledoyeri ,1
Ampelisca lobata ,2
Ampelisca longisetosa ,1
Ampelisca lusitanica ,1
Ampelisca macrocephala ,1
Ampelisca miharaensis ,1
Ampelisca milleri ,2
Ampelisca misakiensis ,1
Ampelisca multispinosa ,1
Ampelisca odontoplax ,1
Ampelisca pectenata ,1
Ampelisca planierensis ,1
Ampelisca pseudosarsi ,1
Ampelisca pseudospinimana ,1
Ampelisca pugetica ,2
Ampelisca pusilla ,1
Ampelisca romigi ,2
Ampelisca ruffoi ,1
Ampelisca sarsi ,1
Ampelisca sp. ,1
Ampelisca spinifer ,1
Ampelisca spinimana ,1
Ampelisca spinipes ,1
Ampelisca spooneri ,1
Ampelisca tenuicornis ,1
Ampelisca toulemonti ,1
Ampelisca truncata ,1
Ampelisca typica ,1
Ampelisca unsocalae ,2
Ampelisca vadorum ,1
Ampelisca verrilli ,1
AMPELISCIDAE ,1
Ampharete acutifrons ,2
Ampharete baltica ,2
Ampharete capensis ,2
Ampharete crassiseta ,3
Ampharete falcata ,2
Ampharete finmarchica ,1
Ampharete goesi ,1
Ampharete grubei ,1
Ampharete kerguelensis ,3
Ampharete labrops ,2
Ampharete lindstroemi ,1
Ampharete lineata ,2
Ampharete sibirica ,1
Ampharete sp. ,1
Ampharetides sp. ,1
Amphichaeta leydigi ,5
Amphichaeta sannio ,5
Amphicteis chilensis ,3
Amphicteis floridus ,3
Amphicteis gunneri ,3
Amphicteis midas ,3
Amphicteis scaphobranchiata ,1
Amphicteis sp. ,0
Amphicteis vestis ,0
Amphictene auricoma ,1
Amphictene capensis ,1
Amphictene sp. ,1
Amphidesma lucinale ,1
Amphideutopus oculatus ,3
Amphiduros sp. ,1
Amphiglena mediterranea ,1
Amphilepis norvegica ,1
Amphilochoides boecki ,2
Amphilochoides gracilis ,2
Amphilochoides odontonyx ,2
Amphilochoides serratipes ,2
Amphilochoides sp. ,2
Amphilochus manudens ,2
Amphilochus neapolitanus ,2
Amphilochus sp. ,2
Amphilochus spencebatei ,2
Amphilochus tenuimanus ,2
Amphinome rostrata ,1
Amphiodia atra ,2
Amphiodia sp. ,1
Amphiodia trychna ,2
Amphiodia urtica ,1
Amphioplus depressus ,2
Amphioplus japonicus ,2
Amphioplus macraspis ,1
Amphioplus praestans ,2
Amphioplus sinicus ,2
Amphioplus sp. ,1
Amphioplus strongyloplax ,1
Amphipholis gracillima ,1
Amphipholis januarii ,1
Amphipholis kochii ,1
Amphipholis sp. ,1
Amphipholis squamata ,1
Amphiporeia virginiana ,1
Amphiporus allucens ,3
Amphiporus bimaculatus ,2
Amphiporus bioculatus ,3
Amphiporus californianus ,2
Amphiporus californicus ,2
Amphiporus cruentatus ,2
Amphiporus imparispinosus ,2
Amphiporus lactifloreus ,3
Amphiporus rubellus ,2
Amphissa undata ,2
Amphitrite auricoma ,1
Amphitrite cirrata ,1
Amphitrite gracilis ,2
Amphitrite johnstoni ,1
Amphitrite robusta ,2
Amphitrite rubra ,1
Amphitrite sp. ,0
Amphitritides gracilis ,2
Amphiura acrystata ,1
Amphiura arcystata ,1
Amphiura brachiata ,1
Amphiura cherbonnieri ,2
Amphiura chiajei ,2
Amphiura filiformis ,2
Amphiura griegi ,2
Amphiura palmeri ,2
Amphiura securigera ,2
Amphiura sp. ,2
Amphiura sundevalli ,2
Amphiura vadicola ,2
AMPHIURIDAE ,2
Ampithoe helleri ,3
Ampithoe lacertosa ,2
Ampithoe longimana ,2
Ampithoe plumulosa ,2
Ampithoe ramondi ,3
Ampithoe rubricata ,1
Ampithoe sp. ,1
Ampithoe valida ,2
Amygdalum papyrium ,2
Amygdalum soyoae ,3
Amygdalum sp. ,3
Amythasides macroglossus ,1
Anachis avara ,1
Anachis catenata ,1
Anachis floridana ,1
Anachis lafresnayi ,1
Anachis obesa ,1
Anachis pulchella ,1
Anachis sp. ,1
Anachis sparsa ,1
Anadara demiri ,4
Anadara diluvii ,1
Anadara floridana ,0
Anadara gibbosa ,1
Anadara inaequivalvis ,4
Anadara multicostata ,2
Anadara polii ,1
Anadara sp. ,0
Anadara transversa ,4
Anaitides groenlandica ,4
Anaitides lamelligera ,2
Anaitides lineata ,2
Anaitides longipes ,2
Anaitides maculata ,2
Anaitides madeirensis ,2
Anaitides mucosa ,3
Anaitides papillosa ,2
Anaitides rosea ,2
Anaitides sp. ,2
Anaitides subulifera ,2
Anamobaea oerstedi ,0
Anapagurus bicorniger ,1
Anapagurus breviaculeatus ,1
Anapagurus chiroacanthus ,1
Anapagurus hyndmanni ,1
Anapagurus laevis ,3
Anapagurus longispina ,1
Anapagurus petiti ,1
Anapagurus serripes ,1
Anapagurus smythi ,1
Anapagurus sp. ,1
Anapta gracilis ,2
Anasca sp. ,1
Anchialina agilis ,2
Anchicolurus occidentalis ,1
Ancinus granulatus ,1
Ancinus panamensis ,1
Ancinus sp. ,1
Ancistrosyllis carolinensis ,3
Ancistrosyllis commensalis ,3
Ancistrosyllis groenlandica ,3
Ancistrosyllis hanaokai ,2
Ancistrosyllis hartmanae ,3
Ancistrosyllis jonesi ,3
Ancistrosyllis papillosa ,3
Ancistrosyllis parva ,3
Ancistrosyllis pilargiformis ,3
Ancistrosyllis quellina ,1
Ancistrosyllis sp. ,3
Ancula sp. ,1
Anemonactis sp. ,2
Anguinella palmata ,2
Angulus agilis ,2
Angulus compressissimus ,1
Angulus donacinus ,1
Angulus fabula ,1
Angulus incarnatus ,1
Angulus lanceolatus ,1
Angulus merus ,1
Angulus planatus ,1
Angulus pygmaeus ,1
Angulus squalidus ,1
Angulus tampaensis ,1
Angulus tenellus ,1
Angulus tenuis ,1
Angulus texanus ,1
Angulus vestalioides ,1
Animoceradocus semiserratus ,1
Anisocorbula pallida ,4
Anisogammarus pugettensis ,2
Annachlamys sp. ,1
Anobothrus gracilis ,3
Anobothrus laubieri ,1
Anodontia fragilis ,1
Anomalisipho altus ,1
Anomalocardia auberiana ,1
Anomalocardia brasiliana ,1
Anomalocardia flexuosa ,1
Anomia ephippium ,1
Anomia simplex ,1
Anomia sp. ,1
ANOMIIDAE ,1
Anonyx lilljeborgii ,2
Anonyx nugax ,2
Anonyx sarsi ,2
Anonyx sp. ,2
Anoplodactylus californicus ,2
Anoplodactylus erectus ,2
Anoplodactylus nodosus ,2
Anoplodactylus pacificus ,2
Anoplodactylus petiolatus ,2
Anoplodactylus pygmaeus ,2
Anoplodactylus sp. ,2
Anoplodactylus viridintestinalis ,2
Anoplosyllis edentula ,2
Anoropallene palpida ,1
Anotomastus gordiodes ,2
Ansates pellucida ,1
Anseropoda placenta ,1
Antalis agilis ,1
Antalis dentalis ,1
Antalis entalis ,1
Antalis guillei ,1
Antalis inaequicostata ,1
Antalis novemcostata ,1
Antalis occidentalis ,1
Antalis panorma ,1
Antalis pretiosa ,1
Antalis rossati ,1
Antalis sp. ,1
Antalis vulgaris ,1
Antennella secundaria ,1
Antennella sp. ,1
Anthopleura sp. ,2
Anthothoe chilensis ,0
ANTHOZOA ,2
Anthroplana nigrensis ,1
Anthura gracilis ,1
ANTHURIDAE ,1
Anticoma sp. ,3
Antinoella finmarchica ,1
Antinoella sarsi ,1
Anurida maritima ,0
Aonidella dayi ,3
Aonides mayaguezensis ,3
Aonides oxycephala ,3
Aonides paucibranchiata ,3
Aonides sp. ,3
Aora gracilis ,1
Aora sp. ,1
Aora spinicornis ,1
Aora typica ,1
AORIDAE ,1
Aoroides columbiae ,2
Aoroides exilis ,2
Aoroides inermis ,2
Aoroides intermedius ,2
Aoroides secunda ,2
Aoroides sp. ,2
Aoroides spinosus ,2
Apanthura corsica ,0
Aphelochaeta filiformis ,3
Aphelochaeta glandaria ,4
Aphelochaeta marioni ,4
Aphelochaeta mcintoshi ,4
Aphelochaeta monilaris ,4
Aphelochaeta multibranchis ,4
Aphelochaeta petersenae ,4
Aphelochaeta serrata ,3
Aphelochaeta sp. ,4
Aphelochaeta vivipara ,4
Aphelochaeta williamsae ,4
Apherusa alacris ,1
Apherusa bispinosa ,1
Apherusa chiereghinii ,1
Apherusa cirrus ,1
Apherusa henneguyi ,1
Apherusa mediterranea ,1
Apherusa ovalipes ,1
Apherusa sarsi ,1
Apherusa sp. ,1
Aphrodita aculeata ,1
Aphrodita alta ,1
Aphrodita australis ,1
Aphrodita bisetosa ,1
Aphrodita brevitentaculata ,1
Aphrodita magellanica ,1
Aphrodita sp. ,1
Apicularia guerinii ,1
Apionsoma misakianum ,2
Apionsoma murinae ,2
Apistobranchus ornatus ,1
Apistobranchus sp. ,1
Apistobranchus tenuis ,1
Apistobranchus tullbergi ,1
Apistobranchus typicus ,1
Aplidium densum ,0
Aplysia fasciata ,1
Aplysia punctata ,1
Aplysia sp. ,1
Aplysiopsis enteromorphae ,1
Apocorophium acutum ,3
Apocorophium lacustre ,3
Apocorophium louisianum ,3
Apocorophium simile ,2
Apocorophium sp. ,3
Apohyale prevostii ,1
Apomatus similis ,1
Apomatus sp. ,1
Aponuphis abranchiata ,2
Aponuphis bilineata ,1
Aponuphis bilineata grubii ,1
Aponuphis brementi ,2
Aponuphis fauveli ,2
Aponuphis grubii ,1
Aponuphis holobranchiata ,2
Aponuphis ornata ,2
Aponuphis sp. ,2
Aponuphis tubicola ,2
Aponuphis willsii ,2
Apoprionospio dayi ,4
Apoprionospio pygmaea ,2
Apoprionospio sp. ,0
Aporrhais pespelecani ,1
Aporrhais serresianus ,1
Aporrhais sp. ,1
Apseudes acutifrons ,3
Apseudes echinatus ,3
Apseudes elisae ,3
Apseudes grossimanus ,3
Apseudes holthuisi ,3
Apseudes latreillei ,3
Apseudes latreillii ,3
Apseudes mortoni  ,1
Apseudes sp. ,0
Apseudes spinosus ,1
Apseudes talpa ,2
Apseudes tenuimanus ,3
APSEUDIDAE ,3
Apseudomorpha sp. ,3
Apseudopsis acutifrons ,3
Apseudopsis elisae ,3
Arabella geniculata ,1
Arabella iricolor ,1
Arabella multidentata ,1
Arabella mutans ,2
Arabella sp. ,1
Arachnidium sp. ,2
Araphura breviaria ,2
Araphura brevimanus ,1
Araphura filiformis ,1
Araphura sp. ,1
Arbacia dufresnii ,1
Arca boucardi ,1
Arca diluvii ,1
Arca fragilis ,1
Arca lactea ,1
Arca noae ,1
Arca pectunculoides ,1
Arca sp. ,1
Arca tetragona ,1
Archaeomysis grebnitzkii ,1
Archimerismus subnodosus ,1
Arcopagia balaustina ,1
Arcopagia crassa ,1
Arcopsis interplicata ,1
Arcopsis symmetrica ,1
Arctica islandica ,3
Arctica sp. ,3
Arctinula greenlandica ,1
Arctolembos arcticus ,1
Arctonoella sinagawaensis ,2
Arctonula arctica ,1
Arcturella danmoniensis ,2
Arcturella dilatata ,2
Arcturella sp. ,2
Arcturina rhomboidalis ,0
Arcturopsis giardi ,0
Arcuatula papyria ,2
Arcuatula senhousia ,3
Arculfia trago ,0
Arenicola brasiliensis ,3
Arenicola cristata ,3
Arenicola defodiens ,1
Arenicola marina ,3
Arenicola sp. ,1
Argissa hamatipes ,2
Argissa sp. ,2
Argobuccinum pustulosum ,3
Argopecten ventricosus ,1
Argulus versicolor ,0
Arhynchite rugosus ,2
Arichlidon gathofi ,1
Arichlidon reyssi ,1
Aricia cuvieri ,1
Aricia foetida ,1
Aricia grubei ,1
Aricia latreillii ,1
Aricia norvegica ,1
Aricia sp. ,1
Aricidea albatrossae ,1
Aricidea annae ,1
Aricidea antennata ,2
Aricidea assimilis ,1
Aricidea belgicae ,1
Aricidea bryani ,1
Aricidea capensis ,1
Aricidea capensis bansei ,1
Aricidea catherinae ,2
Aricidea cerrutii ,1
Aricidea claudiae ,1
Aricidea curviseta ,1
Aricidea fauveli ,2
Aricidea finitima ,2
Aricidea fragilis ,1
Aricidea fragilis mediterranea ,1
Aricidea hartmani ,1
Aricidea horikoshii ,2
Aricidea jeffreysii ,1
Aricidea laubieri ,1
Aricidea longicirrata ,1
Aricidea lopezi ,2
Aricidea lopezi rosea ,1
Aricidea maialenae ,1
Aricidea mariannae ,1
Aricidea minuta ,1
Aricidea mirifica ,1
Aricidea mirunekoa ,1
Aricidea monicae ,1
Aricidea nekanae ,1
Aricidea nolani ,1
Aricidea philbinae ,1
Aricidea pseudoarticulata ,1
Aricidea quadrilobata ,1
Aricidea ramosa ,2
Aricidea roberti ,1
Aricidea rubra ,1
Aricidea simonae ,1
Aricidea simplex ,2
Aricidea sp. ,0
Aricidea suecica ,1
Aricidea suecica meridionalis ,1
Aricidea suecica simplex ,2
Aricidea taylori ,1
Aricidea wassi ,1
Armandia agilis ,1
Armandia brevis ,4
Armandia cirrhosa ,1
Armandia intermedia ,1
Armandia maculata ,3
Armandia polyophthalma ,1
Armandia sp. ,1
Armina californica ,1
Armina loveni ,1
Armina sp. ,1
Arrhinopsis longicornis ,2
Arrhis phyllonyx ,3
Arrhis sp. ,3
Artacama coniferi ,2
Artacama occidentalis ,1
Artacama proboscidea ,1
Artacama sp. ,1
Artacama valparaisiensis ,3
Arthritica bifurcata ,3
Aruga sp. ,2
Asabellides lineata ,2
Asabellides oculata ,2
Asabellides sibirica ,1
Ascidia conchilega ,3
Ascidia mentula ,3
Ascidia prunum ,3
Ascidia sp. ,3
ASCIDIACEA ,3
Ascidiella aspersa ,3
Ascidiella scabra ,3
Ascidiella sp. ,3
